title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
"Sri Sri Enclave, Old Perungalathur",Rs. 52 Lac,3957,1314,"Old Perungalathur, Chennai",Chennai South,3,2,Semifurnished,1,NO,12.917108,80.088781,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-1314-sq-ft-r1-spid-G76196913
KM Flats,Rs. 59 Lac,5363,1100,"Old Perungalathur, Chennai",Chennai South,2,2,N/A,N/A,NO,12.920314,80.084655,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-km-flats-old-perungalathur-chennai-south-1100-sq-ft-r1-spid-T78254047
N/A,Rs. 75 Lac,6818,1100,"Urapakkam West, Chennai",Chennai South,3,4,N/A,1,NO,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-910-sq-ft-r1-spid-U78234093
Kurinji Apartments ,Rs. 80 Lac,6477,1100,"Urapakkam, Chennai",Chennai South,3,2,Unfurnished,N/A,NO,12.86802,80.07245,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-chennai-south-1235-sq-ft-r1-spid-W78223331
akilandedhwari nagar,Rs. 99 Lac,4500,N/A,"Urapakkam West, Chennai",Chennai South,N/A,0,N/A,4,NO,12.862131,80.055627,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-west-chennai-south-244-sq-yard-spid-S81523199
Devanayaki Anjalai Enclave,Rs. 55 Lac,6823,806,"Perungalathur, Chennai",Chennai South,2,2,Furnished,1,NO,12.896486,80.073718,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-devanayaki-anjalai-enclave-perungalathur-chennai-south-806-sq-ft-r1-spid-X78147189
N/A,Rs. 1.4 Crore,5833,2400,"Kannadasan Nagar, Mannivakkam, Urapakkam",Chennai South,4,3,N/A,3,NO,12.86261778,80.05816708,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-kannadasan-nagar-mannivakkam-chennai-south-2500-sq-ft-r1-spid-N78107625
Thulasi Apartment,Rs. 1.25 Crore,8143,N/A,"Urapakkam, Chennai",Chennai South,3,3,N/A,N/A,NO,12.865249,80.066985,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-thulasi-apartment-urapakkam-chennai-south-1535-sq-ft-r1-spid-C78087901
Bhavani homes urappakam,Rs. 47.43 Lac,4900,968,"MG Nagar VI, Urapakkam",Chennai South,2,2,Semifurnished,N/A,NO,12.865717,80.056166,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mg-nagar-6-chennai-south-968-sq-ft-spid-O81480619
Athanur Village,Rs. 32.13 Lac,4500,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,1,NO,12.862362,80.069388,https://www.99acres.com/residential-land-plot-for-sale-in-athanur-village-urapakkam-chennai-south-79-sq-yard-spid-P81478705
